b'2019-04-13 14:21:32,655 [I]    thread_c2: Starting'
b'2019-04-13 14:21:32,656 [I]    thread_c2: Initial dynamic skyline'
b'2019-04-13 14:21:32,669 [I]    thread_c2: Customer values : [4, 10]'
b'2019-04-13 14:21:32,704 [I]    thread_c2: Product values sorted : [[1, [6, 3]], [4, [9, 5]]]'
b'2019-04-13 14:21:32,752 [I]    thread_c2: [P-1] diff : [2, 7] vs [P-1] diff: [2, 7]'
b'2019-04-13 14:21:32,809 [I]    thread_c2: [P-1] saling mendominasi dengan [P-1]'
b'2019-04-13 14:21:32,858 [I]    thread_c2: [P-1] diff : [2, 7] vs [P-4] diff: [5, 5]'
b'2019-04-13 14:21:32,909 [I]    thread_c2: [P-1] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:32,960 [I]    thread_c2: [P-4] diff : [5, 5] vs [P-1] diff: [2, 7]'
b'2019-04-13 14:21:33,011 [I]    thread_c2: [P-4] saling mendominasi dengan [P-1]'
b'2019-04-13 14:21:33,058 [I]    thread_c2: [P-4] diff : [5, 5] vs [P-4] diff: [5, 5]'
b'2019-04-13 14:21:33,107 [I]    thread_c2: [P-4] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:33,138 [I]    thread_c2: Hasil Dynamic Skyline : {1: [2, 7], 4: [5, 5]}'
b'2019-04-13 14:21:33,169 [I]    thread_c2: Close domination relationship: {}'
b'2019-04-13 14:21:33,205 [I]    thread_c2: Add score DSL = [1, 4]'
b'2019-04-13 14:21:33,241 [I]    thread_c2: Last update 1 pbox[1] = 0'
b'2019-04-13 14:21:33,247 [I]    thread_c2: Insert PandoraBox [1][4] + 0.5 = 1.0'
b'2019-04-13 14:21:33,253 [I]    thread_c2: Last update 1 pbox[4] = 0'
b'2019-04-13 14:21:33,259 [I]    thread_c2: Insert PandoraBox [4][4] + 0.5 = 2.0'
b'2019-04-13 14:21:33,259 [I]    thread_c2: Last update 2 pbox[1] = [4, 0.5]'
b'2019-04-13 14:21:33,259 [I]    thread_c2: Last update 2 pbox[4] = [4, 0.5]'
b'2019-04-13 14:21:33,260 [I]    thread_c2: Product [5] in'
b'2019-04-13 14:21:33,260 [I]    thread_c2: Customer values : [4, 10]'
b'2019-04-13 14:21:33,268 [I]    thread_c2: Product values sorted : [[5, [12, 10]]]'
b'2019-04-13 14:21:33,333 [I]    thread_c2: Current DSL: [[1, [0], [2, 7]], [4, [0], [5, 5]]]'
b'2019-04-13 14:21:33,377 [I]    thread_c2: [P-5] diff : [8, 0] vs [P-1] diff: [2, 7]'
b'2019-04-13 14:21:33,441 [I]    thread_c2: [P-5] saling mendominasi dengan [P-1]'
b'2019-04-13 14:21:33,502 [I]    thread_c2: [P-5] diff : [8, 0] vs [P-4] diff: [5, 5]'
b'2019-04-13 14:21:33,567 [I]    thread_c2: [P-5] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:33,569 [I]    thread_c2: Hasil Dynamic Skyline : {5: [8, 0], 1: [2, 7], 4: [5, 5]}'
b'2019-04-13 14:21:33,615 [I]    thread_c2: Close domination relationship: {}'
b'2019-04-13 14:21:33,615 [I]    thread_c2: Add score DSL = [5, 1, 4]'
b'2019-04-13 14:21:33,624 [I]    thread_c2: Last update 1 pbox[5] = 0'
b'2019-04-13 14:21:33,632 [I]    thread_c2: Insert PandoraBox [5][5] + 0.3333333333333333 = 0.8333333333333333'
b'2019-04-13 14:21:33,635 [I]    thread_c2: Last update 1 pbox[1] = 4'
b'2019-04-13 14:21:33,642 [I]    thread_c2: Insert PandoraBox [1][5] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:33,644 [I]    thread_c2: Last update 1 pbox[4] = 4'
b'2019-04-13 14:21:33,645 [I]    thread_c2: Insert PandoraBox [4][5] + 0.3333333333333333 = 0.8333333333333333'
b'2019-04-13 14:21:33,645 [I]    thread_c2: Last update 2 pbox[5] = [5, 0.3333333333333333]'
b'2019-04-13 14:21:33,672 [I]    thread_c2: Last update 2 pbox[1] = [5, 0.3333333333333333]'
b'2019-04-13 14:21:33,691 [I]    thread_c2: Last update 2 pbox[4] = [5, 0.3333333333333333]'
b'2019-04-13 14:21:33,714 [I]    thread_c2: Product [2] in'
b'2019-04-13 14:21:33,715 [I]    thread_c2: Customer values : [4, 10]'
b'2019-04-13 14:21:33,715 [I]    thread_c2: Product values sorted : [[2, [4, 12]]]'
b'2019-04-13 14:21:33,719 [I]    thread_c2: Current DSL: [[5, [0], [8, 0]], [1, [0], [2, 7]], [4, [0], [5, 5]]]'
b'2019-04-13 14:21:33,720 [I]    thread_c2: [P-2] diff : [0, 2] vs [P-5] diff: [8, 0]'
b'2019-04-13 14:21:33,721 [I]    thread_c2: [P-2] saling mendominasi dengan [P-5]'
b'2019-04-13 14:21:33,725 [I]    thread_c2: [P-2] diff : [0, 2] vs [P-1] diff: [2, 7]'
b'2019-04-13 14:21:33,725 [I]    thread_c2: [P-2] mendominasi [P-1]'
b'2019-04-13 14:21:33,725 [I]    thread_c2: [P-2] diff : [0, 2] vs [P-4] diff: [5, 5]'
b'2019-04-13 14:21:33,726 [I]    thread_c2: [P-2] mendominasi [P-4]'
b'2019-04-13 14:21:33,726 [I]    thread_c2: Hasil Dynamic Skyline : {2: [0, 2], 5: [8, 0]}'
b'2019-04-13 14:21:33,729 [I]    thread_c2: Close domination relationship: {2: [1, 4]}'
b'2019-04-13 14:21:33,730 [I]    thread_c2: Add score DSL = [2, 5]'
b'2019-04-13 14:21:33,770 [I]    thread_c2: Last update 1 pbox[2] = 0'
b'2019-04-13 14:21:33,771 [I]    thread_c2: Insert PandoraBox [2][6] + 0.5 = 1.3333333333333333'
b'2019-04-13 14:21:33,772 [I]    thread_c2: Last update 1 pbox[5] = 5'
b'2019-04-13 14:21:33,799 [I]    thread_c2: Insert PandoraBox [5][6] + 0.5 = 0.8333333333333333'
b'2019-04-13 14:21:33,800 [I]    thread_c2: Last update 2 pbox[2] = [6, 0.5]'
b'2019-04-13 14:21:33,801 [I]    thread_c2: Last update 2 pbox[5] = [6, 0.5]'
b'2019-04-13 14:21:33,823 [I]    thread_c2: Product [3] in'
b'2019-04-13 14:21:33,837 [I]    thread_c2: Customer values : [4, 10]'
b'2019-04-13 14:21:33,839 [I]    thread_c2: Product values sorted : [[3, [6, 15]]]'
b'2019-04-13 14:21:33,840 [I]    thread_c2: Current DSL: [[2, [0], [0, 2]], [5, [0], [8, 0]]]'
b'2019-04-13 14:21:33,841 [I]    thread_c2: [P-3] diff : [2, 5] vs [P-2] diff: [0, 2]'
b'2019-04-13 14:21:33,842 [I]    thread_c2: [P-3] didominasi [P-2]'
b'2019-04-13 14:21:33,843 [I]    thread_c2: [P-3] diff : [2, 5] vs [P-5] diff: [8, 0]'
b'2019-04-13 14:21:33,870 [I]    thread_c2: [P-3] saling mendominasi dengan [P-5]'
b'2019-04-13 14:21:33,872 [I]    thread_c2: Hasil Dynamic Skyline : {2: [0, 2], 5: [8, 0]}'
b'2019-04-13 14:21:33,872 [I]    thread_c2: Close domination relationship: {2: [1, 4, 3]}'
b'2019-04-13 14:21:33,874 [I]    thread_c2: Add score DSL = [2, 5]'
b'2019-04-13 14:21:33,916 [I]    thread_c2: Last update 1 pbox[2] = 6'
b'2019-04-13 14:21:33,958 [I]    thread_c2: Update score pbox[2][7] + 0.5 = 1.0'
b'2019-04-13 14:21:33,974 [I]    thread_c2: Update score pbox[2][8] + 0.5 = 1.0'
b'2019-04-13 14:21:33,975 [I]    thread_c2: Insert PandoraBox [2][9] + 0.5 = 0.8333333333333333'
b'2019-04-13 14:21:33,976 [I]    thread_c2: Last update 1 pbox[5] = 6'
b'2019-04-13 14:21:33,977 [I]    thread_c2: Update score pbox[5][7] + 0.5 = 1.0'
b'2019-04-13 14:21:33,997 [I]    thread_c2: Update score pbox[5][8] + 0.5 = 1.0'
b'2019-04-13 14:21:33,999 [I]    thread_c2: Insert PandoraBox [5][9] + 0.5 = 1.0'
b'2019-04-13 14:21:34,000 [I]    thread_c2: Last update 2 pbox[2] = [9, 0.5]'
b'2019-04-13 14:21:34,002 [I]    thread_c2: Last update 2 pbox[5] = [9, 0.5]'
b'2019-04-13 14:21:34,022 [I]    thread_c2: Product 4 out'
b'2019-04-13 14:21:34,075 [I]    thread_c2: Product 2 out'
b'2019-04-13 14:21:34,077 [I]    thread_c2: Add score DSL = [2, 5]'
b'2019-04-13 14:21:34,084 [I]    thread_c2: Last update 1 pbox[2] = 9'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Update score pbox[2][10] + 0.5 = 1.0'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Update score pbox[2][11] + 0.5 = 1.0'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Update score pbox[2][12] + 0.5 = 0.5'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Insert PandoraBox [2][13] + 0.5 = 0.5'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Last update 1 pbox[5] = 9'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Update score pbox[5][10] + 0.5 = 0.5'
b'2019-04-13 14:21:34,085 [I]    thread_c2: Update score pbox[5][11] + 0.5 = 0.5'
b'2019-04-13 14:21:34,086 [I]    thread_c2: Update score pbox[5][12] + 0.5 = 0.5'
b'2019-04-13 14:21:34,087 [I]    thread_c2: Insert PandoraBox [5][13] + 0.5 = 0.5'
b'2019-04-13 14:21:34,087 [I]    thread_c2: Last update 2 pbox[2] = [13, 0.5]'
b'2019-04-13 14:21:34,089 [I]    thread_c2: Last update 2 pbox[5] = [13, 0.5]'
b'2019-04-13 14:21:34,090 [I]    thread_c2: DSL Results: {5: [8, 0]}'
b'2019-04-13 14:21:34,090 [I]    thread_c2: dominated1 = [1, 4, 3]'
b'2019-04-13 14:21:34,097 [I]    thread_c2: dominated2 = [1, 4]'
b'2019-04-13 14:21:34,103 [I]    thread_c2: product active now: [5, 2, 3]'
b'2019-04-13 14:21:34,104 [I]    thread_c2: Close domination: 2 - [1, 4]'
b'2019-04-13 14:21:34,111 [I]    thread_c2: Customer values : [4, 10]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: Product values sorted : [[1, [6, 3]], [4, [9, 5]]]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: Current DSL: [[5, [0], [8, 0]]]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: [P-1] diff : [2, 7] vs [P-5] diff: [8, 0]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: [P-1] saling mendominasi dengan [P-5]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: [P-4] diff : [5, 5] vs [P-5] diff: [8, 0]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: [P-4] saling mendominasi dengan [P-5]'
b'2019-04-13 14:21:34,113 [I]    thread_c2: Hasil Dynamic Skyline : {1: [2, 7], 4: [5, 5], 5: [8, 0]}'
b'2019-04-13 14:21:34,113 [I]    thread_c2: Close domination relationship: {2: [1, 4, 3]}'
b'2019-04-13 14:21:34,114 [I]    thread_c2: Add score DSL = [1, 4, 5]'
b'2019-04-13 14:21:34,114 [I]    thread_c2: Last update 1 pbox[1] = 5'
