b'2019-04-13 14:21:32,562 [I]    thread_c4: Starting'
b'2019-04-13 14:21:32,563 [I]    thread_c4: Initial dynamic skyline'
b'2019-04-13 14:21:32,569 [I]    thread_c4: Customer values : [8, 12]'
b'2019-04-13 14:21:32,576 [I]    thread_c4: Product values sorted : [[1, [6, 3]]]'
b'2019-04-13 14:21:32,615 [I]    thread_c4: [P-1] diff : [2, 9] vs [P-1] diff: [2, 9]'
b'2019-04-13 14:21:32,621 [I]    thread_c4: [P-1] saling mendominasi dengan [P-1]'
b'2019-04-13 14:21:32,626 [I]    thread_c4: Hasil Dynamic Skyline : {1: [2, 9]}'
b'2019-04-13 14:21:32,633 [I]    thread_c4: Close domination relationship: {}'
b'2019-04-13 14:21:32,633 [I]    thread_c4: Add score DSL = [1]'
b'2019-04-13 14:21:32,634 [I]    thread_c4: Last update 1 pbox[1] = 0'
b'2019-04-13 14:21:32,641 [I]    thread_c4: Insert PandoraBox [1][3] + 1.0 = 1.0'
b'2019-04-13 14:21:32,648 [I]    thread_c4: Last update 2 pbox[1] = [3, 1.0]'
b'2019-04-13 14:21:32,654 [I]    thread_c4: Product [4] in'
b'2019-04-13 14:21:32,655 [I]    thread_c4: Customer values : [8, 12]'
b'2019-04-13 14:21:32,655 [I]    thread_c4: Product values sorted : [[4, [9, 5]]]'
b'2019-04-13 14:21:32,662 [I]    thread_c4: Current DSL: [[1, [0], [2, 9]]]'
b'2019-04-13 14:21:32,686 [I]    thread_c4: [P-4] diff : [1, 7] vs [P-1] diff: [2, 9]'
b'2019-04-13 14:21:32,740 [I]    thread_c4: [P-4] mendominasi [P-1]'
b'2019-04-13 14:21:32,791 [I]    thread_c4: Hasil Dynamic Skyline : {4: [1, 7]}'
b'2019-04-13 14:21:32,845 [I]    thread_c4: Close domination relationship: {4: [1]}'
b'2019-04-13 14:21:32,890 [I]    thread_c4: Add score DSL = [4]'
b'2019-04-13 14:21:32,944 [I]    thread_c4: Last update 1 pbox[4] = 0'
b'2019-04-13 14:21:32,991 [I]    thread_c4: Insert PandoraBox [4][4] + 1.0 = 1.5'
b'2019-04-13 14:21:33,039 [I]    thread_c4: Last update 2 pbox[4] = [4, 1.0]'
b'2019-04-13 14:21:33,260 [I]    thread_c4: Product [5] in'
b'2019-04-13 14:21:33,260 [I]    thread_c4: Customer values : [8, 12]'
b'2019-04-13 14:21:33,261 [I]    thread_c4: Product values sorted : [[5, [12, 10]]]'
b'2019-04-13 14:21:33,311 [I]    thread_c4: Current DSL: [[4, [0], [1, 7]]]'
b'2019-04-13 14:21:33,358 [I]    thread_c4: [P-5] diff : [4, 2] vs [P-4] diff: [1, 7]'
b'2019-04-13 14:21:33,423 [I]    thread_c4: [P-5] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:33,483 [I]    thread_c4: Hasil Dynamic Skyline : {5: [4, 2], 4: [1, 7]}'
b'2019-04-13 14:21:33,550 [I]    thread_c4: Close domination relationship: {4: [1]}'
b'2019-04-13 14:21:33,614 [I]    thread_c4: Add score DSL = [5, 4]'
b'2019-04-13 14:21:33,622 [I]    thread_c4: Last update 1 pbox[5] = 0'
b'2019-04-13 14:21:33,624 [I]    thread_c4: Insert PandoraBox [5][5] + 0.5 = 0.5'
b'2019-04-13 14:21:33,624 [I]    thread_c4: Last update 1 pbox[4] = 4'
b'2019-04-13 14:21:33,625 [I]    thread_c4: Insert PandoraBox [4][5] + 0.5 = 0.5'
b'2019-04-13 14:21:33,634 [I]    thread_c4: Last update 2 pbox[5] = [5, 0.5]'
b'2019-04-13 14:21:33,636 [I]    thread_c4: Last update 2 pbox[4] = [5, 0.5]'
b'2019-04-13 14:21:33,714 [I]    thread_c4: Product [2] in'
b'2019-04-13 14:21:33,714 [I]    thread_c4: Customer values : [8, 12]'
b'2019-04-13 14:21:33,715 [I]    thread_c4: Product values sorted : [[2, [4, 12]]]'
b'2019-04-13 14:21:33,719 [I]    thread_c4: Current DSL: [[5, [0], [4, 2]], [4, [0], [1, 7]]]'
b'2019-04-13 14:21:33,720 [I]    thread_c4: [P-2] diff : [4, 0] vs [P-5] diff: [4, 2]'
b'2019-04-13 14:21:33,720 [I]    thread_c4: [P-2] mendominasi [P-5]'
b'2019-04-13 14:21:33,725 [I]    thread_c4: [P-2] diff : [4, 0] vs [P-4] diff: [1, 7]'
b'2019-04-13 14:21:33,726 [I]    thread_c4: [P-2] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:33,727 [I]    thread_c4: Hasil Dynamic Skyline : {2: [4, 0], 4: [1, 7]}'
b'2019-04-13 14:21:33,727 [I]    thread_c4: Close domination relationship: {4: [1], 2: [5]}'
b'2019-04-13 14:21:33,727 [I]    thread_c4: Add score DSL = [2, 4]'
b'2019-04-13 14:21:33,727 [I]    thread_c4: Last update 1 pbox[2] = 0'
b'2019-04-13 14:21:33,727 [I]    thread_c4: Insert PandoraBox [2][6] + 0.5 = 0.5'
b'2019-04-13 14:21:33,728 [I]    thread_c4: Last update 1 pbox[4] = 5'
b'2019-04-13 14:21:33,729 [I]    thread_c4: Insert PandoraBox [4][6] + 0.5 = 0.5'
b'2019-04-13 14:21:33,731 [I]    thread_c4: Last update 2 pbox[2] = [6, 0.5]'
b'2019-04-13 14:21:33,732 [I]    thread_c4: Last update 2 pbox[4] = [6, 0.5]'
b'2019-04-13 14:21:33,823 [I]    thread_c4: Product [3] in'
b'2019-04-13 14:21:33,837 [I]    thread_c4: Customer values : [8, 12]'
b'2019-04-13 14:21:33,838 [I]    thread_c4: Product values sorted : [[3, [6, 15]]]'
b'2019-04-13 14:21:33,840 [I]    thread_c4: Current DSL: [[2, [0], [4, 0]], [4, [0], [1, 7]]]'
b'2019-04-13 14:21:33,841 [I]    thread_c4: [P-3] diff : [2, 3] vs [P-2] diff: [4, 0]'
b'2019-04-13 14:21:33,842 [I]    thread_c4: [P-3] saling mendominasi dengan [P-2]'
b'2019-04-13 14:21:33,843 [I]    thread_c4: [P-3] diff : [2, 3] vs [P-4] diff: [1, 7]'
b'2019-04-13 14:21:33,868 [I]    thread_c4: [P-3] saling mendominasi dengan [P-4]'
b'2019-04-13 14:21:33,871 [I]    thread_c4: Hasil Dynamic Skyline : {3: [2, 3], 2: [4, 0], 4: [1, 7]}'
b'2019-04-13 14:21:33,873 [I]    thread_c4: Close domination relationship: {4: [1], 2: [5]}'
b'2019-04-13 14:21:33,873 [I]    thread_c4: Add score DSL = [3, 2, 4]'
b'2019-04-13 14:21:33,874 [I]    thread_c4: Last update 1 pbox[3] = 0'
b'2019-04-13 14:21:33,874 [I]    thread_c4: Insert PandoraBox [3][9] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:33,875 [I]    thread_c4: Last update 1 pbox[2] = 6'
b'2019-04-13 14:21:33,875 [I]    thread_c4: Update score pbox[2][7] + 0.5 = 0.5'
b'2019-04-13 14:21:33,875 [I]    thread_c4: Update score pbox[2][8] + 0.5 = 0.5'
b'2019-04-13 14:21:33,876 [I]    thread_c4: Insert PandoraBox [2][9] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:33,923 [I]    thread_c4: Last update 1 pbox[4] = 6'
b'2019-04-13 14:21:33,931 [I]    thread_c4: Update score pbox[4][7] + 0.5 = 0.5'
b'2019-04-13 14:21:33,957 [I]    thread_c4: Update score pbox[4][8] + 0.5 = 0.5'
b'2019-04-13 14:21:33,957 [I]    thread_c4: Insert PandoraBox [4][9] + 0.3333333333333333 = 0.3333333333333333'
b'2019-04-13 14:21:33,958 [I]    thread_c4: Last update 2 pbox[3] = [9, 0.3333333333333333]'
b'2019-04-13 14:21:33,958 [I]    thread_c4: Last update 2 pbox[2] = [9, 0.3333333333333333]'
b'2019-04-13 14:21:33,974 [I]    thread_c4: Last update 2 pbox[4] = [9, 0.3333333333333333]'
b'2019-04-13 14:21:33,975 [I]    thread_c4: Exiting'
